Longitud de onda (nm),Absorbancia GOTAS LIMPIAR LENTES
379.986,0.666
380.234,0.668
380.484,0.668
380.734,0.667
380.986,0.666
381.238,0.663
381.492,0.661
381.747,0.656
382.003,0.651
382.26,0.644
382.518,0.636
382.777,0.63
383.037,0.624
383.298,0.617
383.56,0.611
383.823,0.605
384.087,0.596
384.352,0.588
384.618,0.58
384.885,0.572
385.153,0.566
385.421,0.557
385.691,0.546
385.961,0.535
386.232,0.527
386.504,0.519
386.777,0.515
387.051,0.508
387.326,0.503
387.601,0.497
387.877,0.489
388.154,0.482
388.432,0.48
388.71,0.476
388.989,0.473
389.269,0.469
389.55,0.468
389.831,0.465
390.113,0.464
390.396,0.463
390.68,0.462
390.964,0.46
391.249,0.457
391.534,0.455
391.82,0.453
392.107,0.452
392.394,0.449
392.682,0.444
392.971,0.442
393.26,0.439
393.55,0.435
393.84,0.433
394.131,0.431
394.423,0.428
394.715,0.427
395.007,0.427
395.3,0.426
395.594,0.426
395.888,0.424
396.182,0.422
396.478,0.421
396.773,0.422
397.069,0.423
397.366,0.423
397.663,0.42
397.96,0.421
398.258,0.421
398.556,0.423
398.855,0.429
399.154,0.43
399.454,0.43
399.754,0.429
400.054,0.43
400.355,0.431
400.656,0.434
400.958,0.439
401.26,0.441
401.562,0.443
401.864,0.444
402.167,0.445
402.471,0.445
402.774,0.447
403.078,0.449
403.382,0.451
403.687,0.453
403.992,0.455
404.297,0.455
404.602,0.456
404.908,0.455
405.214,0.456
405.52,0.459
405.827,0.461
406.134,0.462
406.441,0.461
406.748,0.461
407.055,0.461
407.363,0.461
407.671,0.461
407.979,0.462
408.287,0.462
408.596,0.462
408.905,0.462
409.214,0.461
409.523,0.461
409.832,0.462
410.142,0.461
410.452,0.461
410.761,0.461
411.072,0.462
411.382,0.462
411.692,0.462
412.003,0.462
412.313,0.46
412.624,0.46
412.935,0.458
413.246,0.458
413.557,0.457
413.868,0.456
414.18,0.455
414.491,0.455
414.803,0.453
415.114,0.451
415.426,0.45
415.738,0.449
416.05,0.447
416.362,0.446
416.674,0.445
416.986,0.444
417.298,0.441
417.611,0.439
417.923,0.436
418.235,0.433
418.548,0.429
418.86,0.426
419.173,0.423
419.486,0.421
419.798,0.418
420.111,0.414
420.423,0.412
420.736,0.409
421.049,0.406
421.362,0.403
421.674,0.402
421.987,0.4
422.3,0.397
422.613,0.394
422.925,0.392
423.238,0.39
423.551,0.387
423.864,0.385
424.176,0.381
424.489,0.378
424.802,0.376
425.114,0.374
425.427,0.372
425.74,0.371
426.052,0.369
426.365,0.368
426.677,0.366
426.99,0.364
427.302,0.362
427.614,0.361
427.927,0.359
428.239,0.357
428.551,0.355
428.863,0.353
429.175,0.351
429.487,0.349
429.799,0.349
430.111,0.348
430.423,0.347
430.735,0.346
431.047,0.344
431.358,0.342
431.67,0.341
431.981,0.34
432.293,0.339
432.604,0.338
432.915,0.337
433.226,0.336
433.537,0.334
433.848,0.333
434.159,0.333
434.47,0.331
434.78,0.329
435.091,0.328
435.401,0.328
435.711,0.328
436.022,0.328
436.332,0.329
436.642,0.328
436.952,0.326
437.261,0.325
437.571,0.324
437.881,0.324
438.19,0.324
438.499,0.323
438.809,0.323
439.118,0.323
439.427,0.323
439.735,0.323
440.044,0.322
440.353,0.321
440.661,0.32
440.97,0.32
441.278,0.321
441.586,0.322
441.894,0.323
442.202,0.324
442.509,0.324
442.817,0.324
443.124,0.323
443.431,0.324
443.738,0.324
444.045,0.326
444.352,0.328
444.659,0.329
444.966,0.329
445.272,0.329
445.578,0.329
445.884,0.329
446.19,0.329
446.496,0.328
446.802,0.328
447.107,0.33
447.413,0.331
447.718,0.331
448.023,0.332
448.328,0.333
448.633,0.333
448.937,0.333
449.242,0.333
449.546,0.333
449.85,0.332
450.154,0.332
450.458,0.332
450.762,0.331
451.066,0.331
451.369,0.331
451.672,0.331
451.975,0.33
452.278,0.329
452.581,0.328
452.884,0.328
453.186,0.328
453.488,0.328
453.791,0.327
454.093,0.327
454.394,0.326
454.696,0.327
454.998,0.327
455.299,0.327
455.6,0.326
455.901,0.325
456.202,0.324
456.503,0.323
456.803,0.322
457.104,0.322
457.404,0.323
457.704,0.322
458.004,0.321
458.304,0.322
458.604,0.322
458.903,0.321
459.202,0.319
459.502,0.318
459.801,0.316
460.099,0.317
460.398,0.318
460.697,0.319
460.995,0.319
461.293,0.32
461.591,0.319
461.889,0.319
462.187,0.319
462.484,0.319
462.782,0.318
463.079,0.318
463.376,0.317
463.673,0.317
463.97,0.315
464.267,0.313
464.563,0.311
464.86,0.311
465.156,0.31
465.452,0.309
465.748,0.307
466.043,0.307
466.339,0.307
466.634,0.309
466.93,0.308
467.225,0.309
467.52,0.31
467.815,0.309
468.109,0.308
468.404,0.307
468.698,0.306
468.992,0.306
469.287,0.304
469.58,0.303
469.874,0.302
470.168,0.302
470.461,0.302
470.755,0.302
471.048,0.301
471.341,0.303
471.634,0.303
471.927,0.301
472.219,0.3
472.512,0.3
472.804,0.3
473.097,0.301
473.389,0.302
473.681,0.302
473.972,0.301
474.264,0.299
474.556,0.298
474.847,0.299
475.138,0.297
475.43,0.298
475.721,0.298
476.011,0.298
476.302,0.299
476.593,0.298
476.883,0.298
477.174,0.298
477.464,0.297
477.754,0.297
478.044,0.297
478.334,0.296
478.623,0.295
478.913,0.293
479.203,0.293
479.492,0.294
479.781,0.294
480.07,0.296
480.359,0.297
480.648,0.296
480.937,0.297
481.225,0.297
481.514,0.294
481.802,0.291
482.091,0.29
482.379,0.289
482.667,0.29
482.955,0.29
483.242,0.288
483.53,0.286
483.818,0.286
484.105,0.285
484.393,0.284
484.68,0.285
484.967,0.284
485.254,0.282
485.541,0.281
485.828,0.282
486.115,0.282
486.401,0.281
486.688,0.28
486.974,0.28
487.261,0.279
487.547,0.277
487.833,0.277
488.119,0.275
488.405,0.275
488.691,0.276
488.976,0.275
489.262,0.275
489.548,0.274
489.833,0.272
490.118,0.272
490.404,0.273
490.689,0.274
490.974,0.273
491.259,0.273
491.544,0.272
491.829,0.272
492.114,0.272
492.398,0.271
492.683,0.27
492.967,0.271
493.252,0.272
493.536,0.272
493.82,0.271
494.104,0.268
494.389,0.267
494.673,0.267
494.957,0.266
495.24,0.269
495.524,0.27
495.808,0.27
496.092,0.272
496.375,0.273
496.659,0.274
496.942,0.273
497.226,0.27
497.509,0.266
497.792,0.265
498.075,0.266
498.358,0.265
498.641,0.265
498.924,0.265
499.207,0.266
499.49,0.266
499.773,0.268
500.056,0.268
500.338,0.266
500.621,0.266
500.904,0.263
501.186,0.263
501.469,0.261
501.751,0.262
502.033,0.262
502.316,0.262
502.598,0.263
502.88,0.263
503.162,0.262
503.444,0.263
503.726,0.265
504.008,0.265
504.29,0.264
504.572,0.262
504.854,0.262
505.136,0.264
505.417,0.265
505.699,0.262
505.981,0.262
506.263,0.262
506.544,0.261
506.826,0.258
507.107,0.26
507.389,0.263
507.67,0.265
507.952,0.266
508.233,0.265
508.514,0.264
508.796,0.264
509.077,0.264
509.358,0.264
509.639,0.263
509.921,0.266
510.202,0.265
510.483,0.264
510.764,0.262
511.045,0.261
511.326,0.26
511.607,0.26
511.888,0.26
512.169,0.259
512.45,0.261
512.731,0.26
513.012,0.261
513.293,0.262
513.574,0.262
513.855,0.264
514.136,0.263
514.416,0.261
514.697,0.257
514.978,0.257
515.259,0.257
515.54,0.257
515.82,0.258
516.101,0.257
516.382,0.256
516.662,0.255
516.943,0.256
517.224,0.256
517.505,0.255
517.785,0.256
518.066,0.256
518.347,0.255
518.627,0.254
518.908,0.257
519.189,0.259
519.469,0.26
519.75,0.26
520.03,0.261
520.311,0.262
520.592,0.26
520.872,0.259
521.153,0.259
521.434,0.26
521.714,0.26
521.995,0.26
522.276,0.259
522.556,0.258
522.837,0.259
523.118,0.259
523.398,0.259
523.679,0.26
523.96,0.26
524.24,0.262
524.521,0.262
524.802,0.262
525.082,0.263
525.363,0.263
525.644,0.265
525.924,0.265
526.205,0.264
526.486,0.265
526.767,0.265
527.047,0.267
527.328,0.269
527.609,0.271
527.89,0.269
528.171,0.267
528.452,0.266
528.732,0.266
529.013,0.265
529.294,0.265
529.575,0.268
529.856,0.268
530.137,0.269
530.418,0.267
530.699,0.268
530.98,0.271
531.261,0.272
531.542,0.273
531.823,0.271
532.104,0.272
532.385,0.273
532.666,0.275
532.948,0.274
533.229,0.273
533.51,0.272
533.791,0.272
534.073,0.275
534.354,0.276
534.635,0.276
534.916,0.277
535.198,0.277
535.479,0.276
535.761,0.276
536.042,0.276
536.323,0.276
536.605,0.278
536.887,0.279
537.168,0.28
537.45,0.28
537.731,0.281
538.013,0.282
538.295,0.284
538.576,0.284
538.858,0.286
539.14,0.286
539.422,0.288
539.703,0.288
539.985,0.289
540.267,0.291
540.549,0.294
540.831,0.295
541.113,0.296
541.395,0.295
541.677,0.293
541.959,0.291
542.241,0.293
542.523,0.294
542.806,0.293
543.088,0.293
543.37,0.292
543.652,0.292
543.935,0.295
544.217,0.298
544.5,0.299
544.782,0.297
545.065,0.298
545.347,0.298
545.63,0.299
545.912,0.301
546.195,0.302
546.478,0.302
546.76,0.302
547.043,0.303
547.326,0.305
547.609,0.305
547.891,0.305
548.174,0.306
548.457,0.306
548.74,0.308
549.023,0.309
549.306,0.309
549.589,0.309
549.873,0.309
550.156,0.31
550.439,0.311
550.722,0.312
551.006,0.312
551.289,0.312
551.572,0.313
551.856,0.315
552.139,0.315
552.423,0.315
552.706,0.318
552.99,0.318
553.273,0.318
553.557,0.318
553.841,0.319
554.124,0.32
554.408,0.322
554.692,0.322
554.976,0.324
555.26,0.325
555.544,0.326
555.828,0.329
556.112,0.332
556.396,0.333
556.68,0.334
556.964,0.335
557.248,0.334
557.532,0.335
557.817,0.337
558.101,0.339
558.385,0.339
558.67,0.34
558.954,0.34
559.239,0.342
559.523,0.345
559.808,0.345
560.092,0.347
560.377,0.35
560.662,0.351
560.946,0.352
561.231,0.353
561.516,0.355
561.801,0.356
562.086,0.357
562.371,0.359
562.656,0.362
562.941,0.364
563.226,0.366
563.511,0.367
563.796,0.367
564.081,0.368
564.366,0.37
564.651,0.373
564.937,0.375
565.222,0.377
565.507,0.381
565.793,0.382
566.078,0.384
566.363,0.386
566.649,0.386
566.935,0.386
567.22,0.39
567.506,0.393
567.791,0.395
568.077,0.398
568.363,0.398
568.649,0.399
568.934,0.401
569.22,0.405
569.506,0.408
569.792,0.409
570.078,0.41
570.364,0.411
570.65,0.413
570.936,0.416
571.222,0.417
571.508,0.42
571.794,0.423
572.08,0.427
572.367,0.427
572.653,0.427
572.939,0.43
573.225,0.431
573.512,0.433
573.798,0.435
574.085,0.437
574.371,0.44
574.658,0.441
574.944,0.443
575.231,0.446
575.517,0.45
575.804,0.45
576.09,0.451
576.377,0.452
576.664,0.453
576.95,0.457
577.237,0.46
577.524,0.464
577.811,0.466
578.098,0.467
578.384,0.465
578.671,0.466
578.958,0.468
579.245,0.47
579.532,0.473
579.819,0.475
580.106,0.476
580.393,0.478
580.68,0.477
580.967,0.478
581.255,0.479
581.542,0.481
581.829,0.484
582.116,0.487
582.403,0.49
582.691,0.492
582.978,0.493
583.265,0.495
583.552,0.496
583.84,0.497
584.127,0.5
584.415,0.502
584.702,0.501
584.989,0.502
585.277,0.504
585.564,0.505
585.852,0.508
586.139,0.508
586.427,0.51
586.714,0.513
587.002,0.514
587.289,0.515
587.577,0.516
587.864,0.516
588.152,0.518
588.44,0.52
588.727,0.521
589.015,0.524
589.303,0.526
589.59,0.529
589.878,0.53
590.166,0.531
590.454,0.532
590.741,0.534
591.029,0.535
591.317,0.536
591.605,0.539
591.892,0.542
592.18,0.546
592.468,0.549
592.756,0.551
593.043,0.551
593.331,0.553
593.619,0.558
593.907,0.561
594.195,0.562
594.483,0.563
594.771,0.562
595.058,0.564
595.346,0.567
595.634,0.57
595.922,0.571
596.21,0.572
596.498,0.573
596.786,0.575
597.074,0.58
597.361,0.583
597.649,0.587
597.937,0.591
598.225,0.592
598.513,0.592
598.801,0.595
599.089,0.598
599.377,0.601
599.665,0.604
599.952,0.606
600.24,0.607
600.528,0.61
600.816,0.612
601.104,0.616
601.392,0.621
601.68,0.625
601.968,0.627
602.255,0.63
602.543,0.633
602.831,0.637
603.119,0.64
603.407,0.643
603.695,0.648
603.982,0.652
604.27,0.655
604.558,0.658
604.846,0.662
605.133,0.664
605.421,0.669
605.709,0.673
605.997,0.676
606.284,0.682
606.572,0.686
606.86,0.692
607.147,0.697
607.435,0.703
607.723,0.707
608.01,0.712
608.298,0.716
608.586,0.722
608.873,0.726
609.161,0.73
609.448,0.734
609.736,0.741
610.023,0.747
610.311,0.754
610.598,0.762
610.886,0.767
611.173,0.77
611.461,0.774
611.748,0.778
612.035,0.784
612.323,0.789
612.61,0.794
612.897,0.8
613.185,0.803
613.472,0.807
613.759,0.808
614.046,0.814
614.333,0.819
614.62,0.823
614.908,0.83
615.195,0.835
615.482,0.841
615.769,0.847
616.056,0.853
616.343,0.86
616.63,0.866
616.917,0.871
617.203,0.875
617.49,0.88
617.777,0.886
618.064,0.893
618.351,0.899
618.637,0.903
618.924,0.909
619.211,0.914
619.497,0.922
619.784,0.929
620.07,0.936
620.357,0.939
620.643,0.945
620.93,0.95
621.216,0.954
621.503,0.957
621.789,0.963
622.075,0.967
622.361,0.969
622.648,0.972
622.934,0.977
623.22,0.983
623.506,0.989
623.792,0.994
624.078,0.998
624.364,1.005
624.65,1.011
624.936,1.016
625.221,1.016
625.507,1.018
625.793,1.021
626.079,1.025
626.364,1.024
626.65,1.026
626.935,1.027
627.221,1.031
627.506,1.034
627.792,1.039
628.077,1.041
628.362,1.041
628.648,1.043
628.933,1.043
629.218,1.043
629.503,1.041
629.788,1.041
630.073,1.041
630.358,1.043
630.643,1.047
630.928,1.047
631.213,1.044
631.497,1.043
631.782,1.043
632.067,1.045
632.351,1.044
632.636,1.042
632.92,1.041
633.205,1.04
633.489,1.036
633.773,1.033
634.058,1.029
634.342,1.027
634.626,1.024
634.91,1.025
635.194,1.024
635.478,1.022
635.762,1.02
636.046,1.016
636.33,1.011
636.613,1.006
636.897,1.003
637.181,0.999
637.464,0.996
637.748,0.989
638.031,0.984
638.314,0.979
638.598,0.974
638.881,0.972
639.164,0.967
639.447,0.961
639.73,0.955
640.013,0.948
640.296,0.943
640.579,0.94
640.862,0.937
641.144,0.929
641.427,0.921
641.709,0.914
641.992,0.907
642.274,0.901
642.557,0.891
642.839,0.884
643.121,0.877
643.403,0.87
643.686,0.861
643.968,0.851
644.25,0.843
644.531,0.836
644.813,0.828
645.095,0.817
645.377,0.807
645.658,0.8
645.94,0.792
646.221,0.784
646.503,0.774
646.784,0.766
647.065,0.757
647.346,0.747
647.628,0.738
647.909,0.729
648.19,0.72
648.47,0.712
648.751,0.704
649.032,0.695
649.313,0.688
649.593,0.68
649.874,0.671
650.154,0.662
650.435,0.654
650.715,0.645
650.995,0.636
651.275,0.626
651.555,0.618
651.835,0.611
652.115,0.604
652.395,0.596
652.675,0.587
652.954,0.579
653.234,0.57
653.514,0.562
653.793,0.555
654.072,0.548
654.352,0.541
654.631,0.534
654.91,0.528
655.189,0.523
655.468,0.516
655.747,0.508
656.026,0.5
656.304,0.492
656.583,0.485
656.862,0.479
657.14,0.472
657.419,0.466
657.697,0.461
657.975,0.455
658.253,0.449
658.531,0.442
658.809,0.435
659.087,0.429
659.365,0.423
659.643,0.417
659.921,0.41
660.198,0.406
660.476,0.401
660.753,0.397
661.031,0.391
661.308,0.386
661.585,0.381
661.862,0.377
662.139,0.372
662.416,0.368
662.693,0.364
662.97,0.36
663.246,0.356
663.523,0.352
663.8,0.348
664.076,0.343
664.352,0.339
664.629,0.336
664.905,0.332
665.181,0.329
665.457,0.325
665.733,0.321
666.009,0.317
666.285,0.314
666.56,0.311
666.836,0.308
667.112,0.305
667.387,0.302
667.662,0.299
667.938,0.296
668.213,0.292
668.488,0.29
668.763,0.287
669.038,0.284
669.313,0.281
669.588,0.279
669.862,0.276
670.137,0.273
670.411,0.271
670.686,0.27
670.96,0.267
671.235,0.265
671.509,0.263
671.783,0.261
672.057,0.259
672.331,0.258
672.605,0.257
672.878,0.254
673.152,0.252
673.426,0.25
673.699,0.248
673.973,0.245
674.246,0.243
674.519,0.241
674.793,0.239
675.066,0.237
675.339,0.235
675.612,0.233
675.885,0.233
676.157,0.232
676.43,0.231
676.703,0.23
676.975,0.227
677.248,0.225
677.52,0.223
677.792,0.223
678.065,0.223
678.337,0.221
678.609,0.22
678.881,0.218
679.153,0.217
679.424,0.216
679.696,0.215
